Tanggal;Suhu Rata-rata (°C);Kelembaban Rata-rata (%);Curah Hujan (mm)
01/01/2013;26,2;84;3,8
02/01/2013;26,2;84;0,9
03/01/2013;26,4;84;0,4
04/01/2013;24,2;94;7,5
05/01/2013;25,5;87;32,1
06/01/2013;24,5;90;27,5
07/01/2013;25;90;12,4
08/01/2013;24;95;2,5
09/01/2013;23,1;96;46,7
10/01/2013;26,1;78;46,9
11/01/2013;25,5;83;3,5
12/01/2013;25,3;85;29,1
13/01/2013;24,3;94;21,9
14/01/2013;25,3;90;22,6
15/01/2013;23;96;74,2
16/01/2013;24,4;94;61,4
17/01/2013;24,4;94;26,2
18/01/2013;24,9;93;26,6
19/01/2013;26,3;86;7,7
20/01/2013;25,5;88;0,9
21/01/2013;26,2;84;2,3
22/01/2013;24,3;94;8888
23/01/2013;24,2;92;31,6
24/01/2013;25;91;1
25/01/2013;25,5;88;0,6
26/01/2013;25,1;90;6,5
27/01/2013;26,1;80;6,8
28/01/2013;26,3;82;0
29/01/2013;26,3;84;0
30/01/2013;26,2;84;6,2
31/01/2013;24,6;92;0
01/02/2013;26,6;80;4
02/02/2013;25,7;90;0
03/02/2013;25,1;86;3,3
04/02/2013;25,9;84;0
05/02/2013;25,5;87;55
06/02/2013;25,3;88;60,5
07/02/2013;25;86;5
08/02/2013;25,9;84;53,9
09/02/2013;26;85;0,2
10/02/2013;25,5;87;1,1
11/02/2013;25,7;89;8,2
12/02/2013;25,7;90;49,3
13/02/2013;25,1;88;96,5
14/02/2013;25,1;85;3,2
15/02/2013;25,3;87;10
16/02/2013;26,1;84;0,4
17/02/2013;25,1;88;5,3
18/02/2013;25,3;86;1,2
19/02/2013;24,8;86;12,5
20/02/2013;25,6;86;2,6
21/02/2013;26,5;77;7,8
22/02/2013;25,1;88;0,5
23/02/2013;26;90;3,5
24/02/2013;25,5;84;16,9
25/02/2013;28,1;72;5,3
26/02/2013;28;67;0
27/02/2013;27,1;75;0
28/02/2013;27;78;8888
01/03/2013;28;70;2
02/03/2013;27,6;76;0
03/03/2013;26,4;82;8888
04/03/2013;25,4;91;6
05/03/2013;24,8;87;71,5
06/03/2013;24,9;88;0,9
07/03/2013;26,4;80;1,6
08/03/2013;25,6;86;0
09/03/2013;24,2;93;25,6
10/03/2013;26,5;84;18,1
11/03/2013;26,8;80;1,4
12/03/2013;26,2;83;8888
13/03/2013;27,2;78;0,6
14/03/2013;26,3;84;8888
15/03/2013;25,9;83;8888
16/03/2013;25,1;86;12,5
17/03/2013;26,4;84;16,2
18/03/2013;25,9;82;0,1
19/03/2013;26,1;83;0
20/03/2013;25,6;84;22
21/03/2013;26,5;78;4,5
22/03/2013;25,3;86;0
23/03/2013;25,8;85;8888
24/03/2013;26,9;82;62,6
25/03/2013;26,5;83;9,5
26/03/2013;27,3;80;8888
27/03/2013;25,8;86;8888
28/03/2013;25,8;86;10,1
29/03/2013;27,1;84;7,3
30/03/2013;26,7;83;17,3
31/03/2013;26,6;84;0
01/04/2013;26,3;86;32,2
02/04/2013;26,5;86;0
03/04/2013;27;86;5,2
04/04/2013;26,4;88;0,2
05/04/2013;26,8;85;24,4
06/04/2013;25,5;92;8888
07/04/2013;26,1;87;9,2
08/04/2013;26,7;84;8,3
09/04/2013;27;84;8888
10/04/2013;25,9;87;4,9
11/04/2013;26,5;86;1,5
12/04/2013;26,8;79;0,1
13/04/2013;26,7;84;4,2
14/04/2013;27,5;79;8888
15/04/2013;27,6;84;26,7
16/04/2013;26,6;86;4,2
17/04/2013;25,9;87;1
18/04/2013;24,4;90;35,2
19/04/2013;25,3;87;12,2
20/04/2013;27,2;77;1,5
21/04/2013;26,9;87;0
22/04/2013;24,5;96;1,8
23/04/2013;26,5;82;19,1
24/04/2013;27,7;83;0,8
25/04/2013;24,6;89;0
26/04/2013;27,2;81;2,5
27/04/2013;26,4;86;17,2
28/04/2013;27,2;81;3,6
29/04/2013;26,6;79;0
30/04/2013;27,4;77;0
01/05/2013;26,2;84;0
02/05/2013;26;83;85,9
03/05/2013;26,8;78;0
04/05/2013;27,3;78;8888
05/05/2013;27,3;81;0
06/05/2013;27,2;78;0
07/05/2013;26,7;83;0
08/05/2013;26,5;86;5
09/05/2013;26;88;6,6
10/05/2013;26,2;87;11,7
11/05/2013;26,1;88;95,6
12/05/2013;25,6;92;73
13/05/2013;25,5;90;0,1
14/05/2013;26,1;86;0
15/05/2013;25,9;83;0
16/05/2013;26,4;86;8888
17/05/2013;25,9;87;0,4
18/05/2013;27,2;84;29,1
19/05/2013;26,1;86;0
20/05/2013;26,4;84;7,2
21/05/2013;26,7;84;0
22/05/2013;26,3;83;8888
23/05/2013;25,3;87;8888
24/05/2013;26,8;80;4,5
25/05/2013;25,5;89;3,6
26/05/2013;25,7;86;0,3
27/05/2013;25,5;91;7
28/05/2013;25,5;88;4,6
29/05/2013;26,4;82;8888
30/05/2013;25,6;87;41,2
31/05/2013;26,1;85;23,5
01/06/2013;26,5;82;8888
02/06/2013;26,1;82;0
03/06/2013;25,6;84;0
04/06/2013;27,2;78;0
05/06/2013;26,6;84;1,1
06/06/2013;25,3;87;1
07/06/2013;26,3;79;1
08/06/2013;26,8;82;0
09/06/2013;27,4;76;2,7
10/06/2013;26,1;84;0,8
11/06/2013;25,5;90;11,5
12/06/2013;25,4;89;4,3
13/06/2013;25,5;85;0,5
14/06/2013;26,5;80;0,3
15/06/2013;27,4;81;0
16/06/2013;27,6;80;0
17/06/2013;25,6;91;8888
18/06/2013;26,3;81;0,2
19/06/2013;26,4;82;8888
20/06/2013;26,3;82;8888
21/06/2013;26,4;80;0
22/06/2013;26,7;78;8888
23/06/2013;27;80;0
24/06/2013;26,5;78;0
25/06/2013;27,2;75;0
26/06/2013;25,5;84;0
27/06/2013;9999;9999;36,5
28/06/2013;25,7;80;2,3
29/06/2013;26,2;83;0
30/06/2013;26,2;81;0,1
01/07/2013;26,5;82;18,3
02/07/2013;25,6;86;1,9
03/07/2013;25;90;12
04/07/2013;9999;9999;26,1
05/07/2013;9999;9999;12,6
06/07/2013;25,6;82;0,5
07/07/2013;25,2;77;0
08/07/2013;25,3;80;0
09/07/2013;24,6;88;1,8
10/07/2013;24,9;87;49,3
11/07/2013;24,6;90;0
12/07/2013;25,5;83;92,7
13/07/2013;24,5;91;8888
14/07/2013;25,4;85;10
15/07/2013;24,9;86;8888
16/07/2013;26;82;11,6
17/07/2013;25,2;86;5,5
18/07/2013;26;82;1,9
19/07/2013;26,1;74;21,4
20/07/2013;25,4;84;0
21/07/2013;25,8;83;3
22/07/2013;23,7;93;43
23/07/2013;25,3;81;16,4
24/07/2013;25,7;87;0
25/07/2013;26,1;79;0
26/07/2013;26,5;79;3
27/07/2013;25,6;84;0,6
28/07/2013;26,6;79;6,8
29/07/2013;26,5;83;0
30/07/2013;25,5;84;8
31/07/2013;25,7;82;13,8
01/09/2013;9999;9999;9999
02/09/2013;9999;9999;9999
03/09/2013;9999;9999;9999
04/09/2013;9999;9999;1,6
05/09/2013;9999;9999;4,8
01/10/2013;25,9;81;0
