Tanggal,SU,KU,CH
1/1/2008,18.7,100,18
1/2/2008,19,99,78
1/3/2008,19.5,95,33
1/4/2008,18.9,98,29
1/5/2008,20.8,84,36
1/6/2008,20.9,73,1
1/7/2008,21.5,81,0
1/8/2008,22.5,72,0
1/9/2008,21.1,65,0
1/10/2008,22.1,76,0
1/11/2008,22.1,70,0
1/12/2008,21.3,71,0
1/13/2008,22.3,72,0
1/14/2008,20.9,86,0
1/15/2008,20.8,90,6
1/16/2008,21.1,88,1
1/17/2008,22.2,76,0
1/18/2008,21.8,78,0
1/19/2008,22,73,0
1/20/2008,21,76,0
1/21/2008,21.2,72,2
1/22/2008,21.9,84,0
1/23/2008,21,88,2
1/24/2008,20.8,84,12
1/25/2008,22.1,82,1
1/26/2008,22.1,86,0
1/27/2008,21.2,85,6
1/28/2008,21,88,24
1/29/2008,20.6,87,10
1/30/2008,20.5,90,10
1/31/2008,21.3,91,46
2/1/2008,19.5,97,22
2/2/2008,21,90,70
2/3/2008,20.9,79,5
2/4/2008,20.6,84,2
2/5/2008,21.7,84,1
2/6/2008,20.1,92,12
2/7/2008,20.1,94,11
2/8/2008,19.1,100,31
2/9/2008,19.3,92,39
2/10/2008,19,94,9
2/11/2008,19.4,91,28
2/12/2008,19.6,88,6
2/13/2008,19.4,92,29
2/14/2008,18.4,96,5
2/15/2008,19.4,91,59
2/16/2008,19.9,90,4
2/17/2008,19,96,7
2/18/2008,19.5,96,39
2/19/2008,19.5,91,11
2/20/2008,19.2,96,16
2/21/2008,19,99,15
2/22/2008,18.4,98,24
2/23/2008,19.5,95,14
2/24/2008,21.5,83,8
2/25/2008,20.3,83,6
2/26/2008,19.3,88,3
2/27/2008,20,86,29
2/28/2008,20.9,83,10
2/29/2008,19.6,89,0
3/1/2008,20.9,78,5
3/2/2008,19.8,89,0
3/3/2008,21.1,80,46
3/4/2008,19.8,90,9
3/5/2008,21.2,78,21
3/6/2008,19.3,88,5
3/7/2008,20.2,92,62
3/8/2008,20.6,94,13
3/9/2008,20.6,89,17
3/10/2008,19.5,93,50
3/11/2008,20,94,60
3/12/2008,20.8,86,27
3/13/2008,20.5,86,58
3/14/2008,21.4,82,4
3/15/2008,20.2,88,5
3/16/2008,20.6,92,9
3/17/2008,21.1,92,12
3/18/2008,19.8,92,32
3/19/2008,20.2,88,28
3/20/2008,21.4,84,40
3/21/2008,21.3,80,2
3/22/2008,21.3,80,0
3/23/2008,20.4,80,1
3/24/2008,20.7,77,2
3/25/2008,21.3,72,1
3/26/2008,21.6,66,3
3/27/2008,21.8,79,0
3/28/2008,21.5,86,4
3/29/2008,22.4,79,0
